ECG,RSP
-0.077515,5.4959
-0.067596,5.5084
-0.062714,5.5179
-0.052948,5.5301
-0.04364,5.5426
-0.039368,5.5573
-0.033569,5.5658
-0.02594,5.5814
-0.023804,5.5951
-0.021362,5.6088
-0.018921,5.6204
-0.020752,5.6351
-0.018768,5.6485
-0.018616,5.6641
-0.018616,5.6781
-0.014038,5.6934
-0.013885,5.7083
-0.013885,5.7233
-0.005188,5.7373
-0.006409,5.7547
-0.00412,5.769
-0.003967,5.7855
-0.001678,5.8002
-0.001373,5.8151
0.000763,5.8301
0.001068,5.8441
0.000763,5.8588
0.00824,5.8743
0.010681,5.8881
0.015564,5.903
0.028839,5.9183
0.052032,5.9326
0.04715,5.9476
0.061798,5.9616
0.045776,5.9766
0.005798,5.9909
-0.016327,6.0062
-0.010986,6.0205
-0.011749,6.0345
-0.011444,6.0443
-0.011444,6.0596
-0.010986,6.0739
-0.011139,6.0883
-0.011444,6.0983
-0.011444,6.1133
-0.011139,6.1261
-0.011444,6.1374
-0.011444,6.152
-0.011444,6.1621
-0.011597,6.1716
-0.102844,6.1865
0.511322,6.1966
0.617523,6.2054
-0.00824,6.2155
-0.507507,6.2256
-0.6633,6.2354
-0.546722,6.2442
-0.365448,6.2549
-0.267181,6.2631
-0.223083,6.2698
-0.186005,6.2784
-0.154572,6.2839
-0.148621,6.2885
-0.106964,6.2939
-0.101929,6.3016
-0.066376,6.3028
-0.063019,6.308
-0.034332,6.3138
-0.033417,6.3184
-0.00885,6.3181
-0.009003,6.3208
-0.009003,6.3235
-0.009003,6.3229
-0.009003,6.3232
-0.009003,6.3232
-0.009155,6.3181
-0.009155,6.3181
-0.009003,6.3129
-0.009003,6.3086
-0.009003,6.3034
-0.009003,6.2991
-0.008698,6.2888
-0.009308,6.2793
-0.008698,6.2744
-0.009155,6.2619
-0.00885,6.25
-0.00885,6.2408
-0.00885,6.2274
-0.00885,6.2155
0.046844,6.2012
0.283813,6.1887
0.298767,6.1774
0.280762,6.1624
0.26123,6.1478
0.241241,6.1322
0.220795,6.1151
0.199127,6.0992
0.179901,6.084
0.164795,6.069
0.147095,6.055
0.130005,6.0361
0.112915,6.0208
0.098572,6.0056
0.086212,5.9912
0.077362,5.9738
0.067139,5.957
0.059052,5.9421
0.048218,5.9277
0.039368,5.9131
0.035095,5.8984
0.030518,5.8835
0.02533,5.8691
0.022736,5.8542
0.023041,5.8401
0.020294,5.8252
0.0177,5.8105
0.01297,5.798
0.009155,5.7861
0.008392,5.7724
0.005798,5.7617
0.003204,5.7471
0.003357,5.737
0.001678,5.7278
0.000916,5.7129
0.000763,5.7028
0.000916,5.6934
0.000763,5.6796
-0.001678,5.6693
-0.003967,5.6595
0.000916,5.6497
0.007019,5.64
0.020142,5.6274
0.049133,5.6177
0.041046,5.6064
0.050659,5.5981
0.031586,5.5881
-0.010986,5.5814
-0.031128,5.5704
-0.02594,5.5615
-0.02121,5.5518
-0.030975,5.5466
-0.038452,5.5374
-0.035858,5.5276
-0.033112,5.5228
-0.030975,5.5139
-0.028229,5.5078
-0.023193,5.5032
-0.021057,5.4932
-0.034485,5.4892
-0.089722,5.4837
-0.059662,5.4791
0.198517,5.4694
0.89859,5.4639
0.895538,5.4593
0.119324,5.4538
-0.388184,5.4495
-0.444641,5.4446
-0.294647,5.4395
-0.155182,5.4373
-0.10437,5.4349
-0.076141,5.43
-0.058899,5.4251
-0.044403,5.4196
-0.036163,5.4199
-0.02594,5.4156
-0.016479,5.4105
-0.006256,5.4105
0.005798,5.4056
0.015717,5.401
0.029907,5.4007
0.039825,5.3958
0.049438,5.3934
0.062561,5.3912
0.07782,5.3857
0.095825,5.3812
0.11673,5.3717
0.139923,5.3665
0.15686,5.3558
0.164642,5.3473
0.16449,5.3375
0.136261,5.3275
0.069122,5.3131
-0.016022,5.3027
-0.100098,5.2902
-0.161438,5.278
-0.193787,5.2649
-0.206757,5.2545
-0.209503,5.2399
-0.198517,5.2301
-0.180206,5.2158
-0.163269,5.2048
-0.146027,5.1907
-0.128937,5.1816
-0.119019,5.1666
-0.105286,5.1566
-0.090637,5.1468
-0.075378,5.1373
-0.062714,5.1273
-0.053253,5.1178
-0.046844,5.108
-0.040894,5.098
-0.035706,5.0931
-0.030975,5.0839
-0.026245,5.079
-0.026093,5.0742
-0.026093,5.0665
-0.023651,5.0607
-0.023651,5.0571
-0.023804,5.0546
-0.020905,5.0504
-0.017395,5.0455
-0.013885,5.0446
-0.011444,5.04
-0.010071,5.0403
-0.009003,5.0406
-0.00885,5.0354
-0.006561,5.0351
-0.003967,5.0354
-0.001678,5.0354
-0.001678,5.0403
-0.001373,5.04
0.00351,5.0403
0.003357,5.0446
0.003204,5.0452
0.003357,5.0455
0.005798,5.0507
0.007935,5.0522
0.00351,5.0549
0.005646,5.0595
0.008392,5.0592
0.013275,5.065
0.015259,5.0693
0.013123,5.0696
0.015564,5.0742
0.013123,5.079
0.015564,5.0836
0.015411,5.0836
0.021667,5.0888
0.036163,5.0937
0.063629,5.0986
0.050659,5.1035
0.056763,5.1086
0.043488,5.1132
0.001373,5.1181
-0.020294,5.1218
-0.013885,5.1276
-0.006409,5.1328
-0.017395,5.1376
-0.023499,5.1422
-0.021057,5.1471
-0.018463,5.1517
-0.016174,5.1572
-0.016327,5.1611
-0.012512,5.1666
-0.009308,5.1752
-0.019989,5.1813
-0.076294,5.1862
-0.046997,5.191
0.218811,5.2008
0.940857,5.2063
0.847626,5.2106
0.102081,5.2203
-0.373535,5.2255
-0.441132,5.2341
-0.32547,5.2426
-0.152588,5.2493
-0.100555,5.2585
-0.071259,5.267
-0.057831,5.274
-0.045776,5.2826
-0.033417,5.293
-0.024109,5.3027
-0.01358,5.3131
-0.003052,5.3223
0.003357,5.3323
0.013123,5.3461
0.02243,5.3568
0.032654,5.3668
0.039978,5.3812
0.049438,5.3912
0.068817,5.4047
0.088654,5.4156
0.115204,5.4297
0.134888,5.4422
0.144806,5.4541
0.151825,5.4688
0.149689,5.4788
0.11673,5.4932
0.050812,5.5029
-0.026855,5.5182
-0.077362,5.5322
-0.132141,5.5423
-0.167694,5.5576
-0.180206,5.5713
-0.1828,5.5865
-0.175323,5.6003
-0.16571,5.6152
-0.148926,5.6293
-0.133514,5.6439
-0.11673,5.6592
-0.099792,5.6741
-0.089569,5.6885
-0.079956,5.7037
-0.069733,5.7205
-0.057831,5.7373
-0.051117,5.752
-0.043182,5.7703
-0.038452,5.7864
-0.033569,5.8044
-0.030823,5.8206
-0.023346,5.8405
-0.021362,5.8548
-0.019073,5.874
-0.014038,5.8911
-0.016327,5.9076
-0.018616,5.9262
-0.019836,5.9421
-0.018311,5.9604
-0.016174,5.9772
-0.016479,5.9955
-0.01358,6.0107
-0.013885,6.0281
-0.009003,6.0452
-0.00885,6.0583
-0.00412,6.076
-0.00412,6.0928
-0.001526,6.1087
-0.001831,6.1234
-0.001526,6.1371
-0.001678,6.1517
0.003204,6.1667
0.005646,6.1819
0.003357,6.1951
0.005188,6.21
0.007935,6.221
0.00824,6.2354
0.017853,6.25
0.027924,6.2634
0.04715,6.2735
0.042267,6.2888
0.055695,6.3034
0.045929,6.3135
0.004272,6.3269
-0.013733,6.3373
-0.009155,6.3525
0.001068,6.3617
-0.010071,6.3757
-0.014038,6.387
-0.016022,6.3956
-0.009003,6.4084
-0.006409,6.42
-0.006409,6.4307
-0.00061,6.4401
0.000763,6.4502
-0.001526,6.459
-0.061493,6.4688
-0.054474,6.4792
0.111847,6.488
0.674286,6.4929
0.978241,6.5033
0.388031,6.5131
-0.164795,6.5179
-0.424347,6.5274
-0.367889,6.5332
-0.203857,6.5433
-0.11322,6.5479
-0.081177,6.5555
-0.056458,6.5619
-0.040894,6.5674
-0.028839,6.572
-0.019836,6.579
-0.00885,6.586
-0.001831,6.5909
0.005798,6.5964
0.015411,6.601
0.023193,6.6052
0.032501,6.6064
0.03952,6.6107
0.048065,6.6153
0.063934,6.6162
0.084991,6.6205
0.105743,6.6205
0.126495,6.6205
0.142517,6.6202
0.151672,6.6205
0.155792,6.6202
0.141449,6.6208
0.094757,6.6214
0.023193,6.6156
-0.051575,6.6156
-0.110168,6.611
-0.153809,6.6104
-0.174866,6.6061
-0.180206,6.6013
-0.172729,6.5955
-0.158234,6.5909
-0.143585,6.5863
-0.13092,6.5814
-0.111389,6.5765
-0.097046,6.5723
-0.08255,6.5668
-0.067596,6.5582
-0.057983,6.5521
-0.048065,6.5479
-0.041809,6.5369
-0.036011,6.5329
-0.028534,6.5237
-0.030518,6.5186
-0.028534,6.5079
-0.023956,6.4987
-0.018921,6.4935
-0.018768,6.4838
-0.018463,6.4746
-0.018768,6.4642
-0.018921,6.4545
-0.016479,6.445
-0.016327,6.4346
-0.013733,6.4258
-0.014038,6.4157
-0.009003,6.4062
-0.006256,6.3962
-0.003967,6.3861
0.001068,6.3718
0.000916,6.3629
0.00473,6.3519
0.005951,6.3373
0.005798,6.3278
0.005798,6.3138
0.008087,6.3037
0.008087,6.2891
0.008087,6.2769
0.009155,6.264
0.008392,6.2503
0.005798,6.2378
0.008087,6.2259
0.008087,6.2115
0.008087,6.1981
0.008392,6.1859
0.010223,6.1719
0.015869,6.1578
0.027466,6.1472
0.056763,6.1334
0.050812,6.1179
0.059204,6.1041
0.045776,6.091
-0.000305,6.0782
-0.018616,6.0645
-0.016479,6.0498
-0.013733,6.0345
-0.02121,6.0214
